location,longitude,latitude
AimenSanShengDianTemple,119.636675,23.561718
AimenWaterReservoir,119.6344665,23.5567305
BaishaTongliangBaoanGong,119.557356,23.656876
JiangjunVillageFerryPier,119.519784,23.362786
JiangjunVillageYonganGong,119.522238,23.362703
JibeiDajiangMiao,119.605654,23.746927
JibeiXikanShanCentralPlatform,119.597101,23.737376
MagongAnshanPagoda,119.574373,23.556574
MagongErduoLuChunHuiYuanPark,119.573583,23.577842
MagongPenhuLivingMuseum,119.579516,23.56687
ShanshuiVillageQuanshanTangTemple,119.597364,23.512383
TaiwuWaterTower,119.637462,23.572101
WanganBiqigangKiosk,119.509122,23.375165
XianVillageYouquanzhaiHostelFront,119.498507,23.35746
XianVillageYouquanzhaiHostelRear,119.498717,23.357465
